period,demand_multiplier,service_multiplier,lambda_hat,mu_hat,servers,utilization,stable,service_level,expected_wait_minutes
Afternoon peak,0.9,0.9,66.85714285714286,15.010632865717405,5,0.8907971230158729,TRUE,0.7829741083432998,6.035875004196799
Afternoon peak,0.9,1,66.85714285714286,15.010632865717405,5,0.8017174107142856,TRUE,0.95333264521822,2.247433238878023
Afternoon peak,0.9,1.1,66.85714285714286,15.010632865717405,5,0.7288340097402596,TRUE,0.9898099720820088,1.1396161221134136
Afternoon peak,1,0.9,66.85714285714286,15.010632865717405,5,0.9897745811287476,TRUE,0.1314953480779767,84.64974867849905
Afternoon peak,1,1,66.85714285714286,15.010632865717405,5,0.8907971230158729,TRUE,0.8106842407360848,5.432287503777116
Afternoon peak,1,1.1,66.85714285714286,15.010632865717405,5,0.8098155663780662,TRUE,0.9581400309631609,2.1903535863118218
Afternoon peak,1.1,0.9,66.85714285714286,15.010632865717405,5,1.0887520392416226,FALSE,NA,Inf
Afternoon peak,1.1,1,66.85714285714286,15.010632865717405,5,0.9798768353174603,TRUE,0.261398083406329,37.74123187289905
Afternoon peak,1.1,1.1,66.85714285714286,15.010632865717405,5,0.890797123015873,TRUE,0.8348563093920308,4.938443185251928
Afternoon peak,1.2,0.9,66.85714285714286,15.010632865717405,5,1.1877294973544972,FALSE,NA,Inf
Afternoon peak,1.2,1,66.85714285714286,15.010632865717405,5,1.0689565476190475,FALSE,NA,Inf
Afternoon peak,1.2,1.1,66.85714285714286,15.010632865717405,5,0.9717786796536794,TRUE,0.36914047712215425,23.954623735346335
Evening,0.9,0.9,34.339285714285715,14.844326271549875,4,0.5783234126984128,TRUE,0.9939193444230264,0.6923731569704923
Evening,0.9,1,34.339285714285715,14.844326271549875,4,0.5204910714285715,TRUE,0.9983077485569088,0.41026765211871824
Evening,0.9,1.1,34.339285714285715,14.844326271549875,4,0.47317370129870134,TRUE,0.9995197776381655,0.2591603720550549
Evening,1,0.9,34.339285714285715,14.844326271549875,4,0.6425815696649031,TRUE,0.9857434987161822,1.0805609829112082
Evening,1,1,34.339285714285715,14.844326271549875,4,0.5783234126984127,TRUE,0.9959939240646825,0.6231358412734426
Evening,1,1.1,34.339285714285715,14.844326271549875,4,0.525748556998557,TRUE,0.9988534253367322,0.3878209832770076
Evening,1.1,0.9,34.339285714285715,14.844326271549875,4,0.7068397266313934,TRUE,0.9677286463123699,1.6825550965764289
Evening,1.1,1,34.339285714285715,14.844326271549875,4,0.6361557539682541,TRUE,0.9908509881311729,0.9305627936813451
Evening,1.1,1.1,34.339285714285715,14.844326271549875,4,0.5783234126984128,TRUE,0.9973607049114402,0.5664871284304028
Evening,1.2,0.9,34.339285714285715,14.844326271549875,4,0.7710978835978836,TRUE,0.9289922482384791,2.6752054784841137
Evening,1.2,1,34.339285714285715,14.844326271549875,4,0.6939880952380952,TRUE,0.9797043278339056,1.384828788394067
Evening,1.2,1.1,34.339285714285715,14.844326271549875,4,0.6308982683982685,TRUE,0.9941021423673125,0.8159691685948238
