period,lambda_low,lambda_high,mu_low,mu_high,service_level_low,service_level_high,mean_wait_low,mean_wait_high,stable_draw_fraction
Afternoon peak,65.51227678571429,68.24151785714287,14.637765006043402,15.322263299175741,0.7085366034953944,0.8759390820461381,4.014351725790212,7.923521105771849,1
Evening,33.13392857142857,35.72410714285714,14.307344480072915,15.39395552150866,0.9930666907652435,0.9978010985880755,0.4848662405950236,0.7845406700229589,1
Midday,51.47700892857143,53.55535714285715,14.83397915187588,15.524196172742958,0.9886138505028543,0.9951337161390159,0.793042046724795,1.12575896273512,1
Morning peak,82.1828125,86.44308035714286,14.660552633824308,15.343244762651107,0.4845417047932066,0.8201972599655127,5.261399138731192,16.180455931057487,1
