period,training_days,training_passengers,exposure_hours,lambda_hat,mu_hat,servers,utilization,stable,probability_wait,model_service_level,model_mean_wait_minutes,model_mean_system_minutes
Morning peak,56,9437,112,84.25892857142857,15.041281040473482,6,0.9336408730158731,TRUE,0.8235327547847158,0.6964710341420526,8.250787224694987,12.239809159631937
Midday,56,5891,112,52.598214285714285,15.178393141252329,5,0.6930669642857142,TRUE,0.3668756918051424,0.9924410584571804,0.9449976996359348,4.897985307851857
Afternoon peak,56,7488,112,66.85714285714286,15.010632865717405,5,0.8907971230158729,TRUE,0.7420524170002515,0.8106842407360848,5.432287503777116,9.429454081412443
Evening,56,3846,112,34.339285714285715,14.844326271549875,4,0.5783234126984127,TRUE,0.26003478775230415,0.9959939240646825,0.6231358412734426,4.665084185873893
